Lat,Lon
18.4134444,120.5950503
18.4134422,120.5950442
18.4134412,120.5950351
18.4134434,120.5950205
18.4134518,120.5950053
18.4134664,120.5949939
18.4134889,120.594985
18.4135183,120.5949759
18.4135516,120.5949641
18.4135898,120.5949473
18.4136329,120.5949212
18.4136709,120.5949012
18.4137106,120.5948793
18.4137551,120.5948521
18.4138002,120.5948248
18.4138505,120.5947942
18.4139051,120.5947586
18.4139705,120.5947132
18.4140359,120.5946716
18.4140967,120.5946311
18.41416,120.5945864
18.4142172,120.5945425
18.4142809,120.5944947
18.4143445,120.5944517
18.4144069,120.5944089
18.4144682,120.5943668
18.4145331,120.5943188
18.4145995,120.5942679
18.4146688,120.594217
18.4147419,120.594173
18.4148203,120.5941174
18.4149085,120.594062
18.4149881,120.594008
18.4150704,120.5939512
18.4151463,120.5938984
18.4152222,120.5938381
18.4153048,120.5937796
18.4153881,120.5937216
18.4154738,120.5936641
18.4155598,120.5936003
18.4156465,120.5935338
18.4157313,120.5934698
18.4158183,120.593409
18.415906,120.5933443
18.4159998,120.5932793
18.4160867,120.5932143
18.416174,120.5931534
18.4162612,120.5930955
18.4163534,120.5930449
18.4164472,120.592995
18.416544,120.5929484
18.4166419,120.5929022
18.4167403,120.5928584
18.4168448,120.592815
18.4169617,120.5927705
18.4170648,120.5927356
18.4171757,120.5927011
18.4172909,120.5926708
18.4174006,120.5926435
18.4175096,120.5926163
18.4176174,120.592589
18.4177251,120.59256
18.4178371,120.5925334
18.4179425,120.5925064
18.4180493,120.5924757
18.4181584,120.5924468
18.4182725,120.5924196
18.4183861,120.592393
18.4184925,120.592366
18.4186011,120.5923392
18.4187095,120.5923156
18.4188177,120.5922876
18.4189271,120.5922579
18.4190367,120.5922303
18.4191528,120.5921993
18.4192659,120.5921676
18.4193775,120.5921376
18.4194884,120.5921106
18.4196009,120.5920793
18.4197125,120.5920563
18.4198237,120.5920281
18.4199334,120.5920016
18.4200471,120.5919742
18.4201502,120.5919513
18.4202553,120.5919241
18.4203641,120.5918991
18.4204698,120.5918706
18.4205758,120.5918445
18.420685,120.5918215
18.420791,120.5918053
18.4209005,120.5917858
18.4210099,120.5917607
18.4211172,120.5917461
18.4212255,120.5917356
18.421333,120.5917291
18.4214455,120.591726
18.4215457,120.5917262
18.4216461,120.5917314
18.4217527,120.5917391
18.4218603,120.5917521
18.4219673,120.5917659
18.4220811,120.591784
18.4221894,120.5918007
18.4222916,120.5918131
18.4223948,120.5918303
18.4224987,120.5918475
18.4226141,120.591861
18.4227195,120.5918775
18.4228221,120.5918885
18.4229283,120.5919036
18.4230318,120.5919185
18.4231347,120.5919288
18.4232421,120.591941
18.4233445,120.5919526
18.4234473,120.5919567
18.4235549,120.591958
18.4236595,120.5919512
18.4237652,120.5919334
18.4238681,120.5919052
18.423969,120.5918708
18.4240711,120.5918272
18.4241744,120.5917817
18.4242807,120.5917325
18.4243829,120.5916871
18.4244794,120.5916408
18.4245804,120.5915933
18.4246836,120.5915451
18.4247864,120.5914966
18.4248856,120.5914474
18.424987,120.5913931
18.4250884,120.5913359
18.4251824,120.5912749
18.425273,120.591218
18.4253637,120.591152
18.4254591,120.5910912
18.4255633,120.5910377
18.4256678,120.5909956
18.4257765,120.5909579
18.4258844,120.5909301
18.4259937,120.5909016
18.4261063,120.5908786
18.4262194,120.5908598
18.4263288,120.5908317
18.4264399,120.5908098
18.4265525,120.5907912
18.4266626,120.5907713
18.4267727,120.5907537
18.4268859,120.5907468
18.4270003,120.5907463
18.4271202,120.5907501
18.4272359,120.5907579
18.4273491,120.5907671
18.4274645,120.5907707
18.4275734,120.5907754
18.4276826,120.5907806
18.4277924,120.5907831
18.4279008,120.5907842
18.4280054,120.590793
18.4281102,120.5907942
18.4282165,120.5907994
18.4283186,120.590799
18.4284209,120.5907896
18.4285331,120.5907723
18.4286323,120.5907454
18.4287297,120.5907104
18.4288277,120.5906689
18.4289219,120.5906196
18.4290127,120.5905619
18.4291022,120.5905028
18.4291905,120.5904373
18.4292806,120.5903686
18.4293724,120.5902969
18.4294632,120.5902314
18.4295539,120.5901605
18.4296373,120.5900986
18.4297311,120.5900319
18.4298237,120.5899737
18.4299135,120.5899107
18.4300119,120.5898616
18.4301074,120.5898129
18.4302014,120.5897655
18.4303018,120.5897085
18.430395,120.5896591
18.4304916,120.5896093
18.4305839,120.5895545
18.4306742,120.5894881
18.4307654,120.5894197
18.4308462,120.5893437
18.4309317,120.5892646
18.4310201,120.5891798
18.4311054,120.5890942
18.4311867,120.5890082
18.4312747,120.5889179
18.4313667,120.5888279
18.4314609,120.588738
18.4315494,120.5886443
18.4316415,120.5885551
18.4317296,120.5884638
18.4318137,120.588372
18.4319101,120.5882786
18.4319988,120.5881886
18.4320868,120.5880975
18.4321753,120.5880023
18.4322614,120.5879085
18.4323482,120.5878161
18.4324377,120.5877234
18.4325243,120.5876322
18.4326114,120.5875351
18.4327013,120.5874463
18.4327908,120.5873607
18.4328861,120.5872808
18.4329892,120.5872125
18.4330928,120.5871429
18.4331974,120.5870886
18.4332951,120.5870459
18.4333977,120.5869929
18.4335025,120.5869377
18.4336031,120.5868875
18.4337035,120.5868322
18.4337975,120.586767
18.4338891,120.5866998
18.4339797,120.5866283
18.4340719,120.5865558
18.4341698,120.5864817
18.4342671,120.5864062
18.4343652,120.5863284
18.4344635,120.5862606
18.4345674,120.5861825
18.4346673,120.586112
18.4347691,120.5860427
18.4348766,120.5859781
18.4349889,120.5859142
18.435099,120.5858547
18.4352164,120.5857948
18.4353329,120.5857349
18.4354485,120.585675
18.4355635,120.5856173
18.4356809,120.5855653
18.4357932,120.5855149
18.4359043,120.5854654
18.4360252,120.5854175
18.436146,120.5853802
18.4362586,120.585335
18.4363756,120.5852893
18.436492,120.5852417
18.4366057,120.5851981
18.4367226,120.5851492
18.4368352,120.5851046
18.436956,120.585058
18.4370731,120.5850167
18.437195,120.5849742
18.4373099,120.5849304
18.4374187,120.584888
18.4375287,120.5848423
18.4376375,120.5848006
18.4377486,120.5847613
18.4378719,120.5847146
18.4379931,120.5846656
18.4381135,120.5846215
18.4382327,120.5845764
18.4383478,120.5845323
18.4384607,120.5844875
18.4385833,120.5844429
18.4387004,120.5844001
18.4388207,120.5843565
18.4389341,120.5843151
18.439052,120.5842739
18.4391693,120.5842379
18.4392818,120.5842045
18.4394,120.58418
18.4395182,120.5841589
18.4396474,120.5841391
18.4397697,120.5841182
18.4398916,120.5840955
18.4400177,120.5840779
18.440144,120.5840599
18.4402677,120.584039
18.4403988,120.5840182
18.4405294,120.5839949
18.4406661,120.5839752
18.4407972,120.5839532
18.4409262,120.5839287
18.4410537,120.5839022
18.4411799,120.5838749
18.4413054,120.5838402
18.4414343,120.583798
18.4415565,120.583753
18.4416762,120.5837019
18.4417954,120.5836482
18.44192,120.583591
18.4420398,120.5835345
18.4421611,120.5834751
18.4422831,120.5834191
18.4424067,120.5833674
18.4425305,120.5833173
18.4426585,120.5832695
18.4427843,120.583233
18.4429086,120.5832058
18.4430367,120.5831831
18.4431609,120.5831633
18.4432818,120.583147
18.4434099,120.5831293
18.443536,120.5831125
18.443654,120.5830983
18.4437787,120.5830904
18.4438985,120.5830786
18.4440166,120.5830744
18.4441383,120.5830641
18.4442594,120.5830552
18.4443848,120.5830488
18.4445111,120.5830374
18.4446407,120.5830227
18.4447712,120.5830077
18.444904,120.5829933
18.4450387,120.5829761
18.4451732,120.582959
18.4453056,120.5829422
18.445441,120.5829277
18.4455785,120.5829128
18.4457139,120.5828952
18.4458447,120.58288
18.4459782,120.5828624
18.4461056,120.582848
18.4462381,120.5828318
18.4463651,120.5828198
18.4465061,120.5828096
18.4466377,120.5828027
18.4467638,120.5827994
18.446894,120.5828001
18.4470243,120.5828012
18.4471563,120.5828005
18.4472885,120.5827973
18.4474265,120.5827918
18.4475719,120.5827855
18.4477071,120.5827797
18.4478464,120.5827754
18.4479796,120.5827672
18.4481137,120.5827651
18.4482456,120.5827581
18.4483789,120.5827511
18.4485101,120.5827434
18.44864,120.5827323
18.4487686,120.5827226
18.4488979,120.582715
18.4490265,120.5827089
18.4491566,120.5827036
18.4492858,120.5826952
18.4494163,120.5826911
18.4495472,120.582687
18.449678,120.5826833
18.4498085,120.5826778
18.4499394,120.5826698
18.4500695,120.5826613
18.4501977,120.5826502
18.4503266,120.5826403
18.4504535,120.5826274
18.4505809,120.5826147
18.4507099,120.5826003
18.4508403,120.5825864
18.450968,120.5825727
18.4510996,120.5825606
18.4512345,120.5825471
18.4513678,120.5825363
18.4514999,120.5825239
18.4516368,120.5825117
18.4517703,120.5824988
18.451902,120.5824847
18.4520356,120.5824689
18.4521706,120.5824545
18.4523059,120.5824367
18.4524408,120.5824157
18.4525742,120.5823903
18.4527063,120.5823636
18.4528364,120.5823289
18.4529684,120.5822919
18.4530991,120.5822534
18.453225,120.5822121
18.4533495,120.5821643
18.4534707,120.5821105
18.4535916,120.582053
18.4537122,120.5819945
18.4538339,120.5819356
18.4539554,120.5818733
18.4540781,120.5818062
18.4541982,120.5817359
18.4543153,120.5816694
18.4544329,120.5816062
18.4545474,120.5815478
18.454655,120.5814862
18.4547644,120.5814276
18.4548674,120.581366
18.4549683,120.5813061
18.4550705,120.5812482
18.4551687,120.5811897
18.4552718,120.5811285
18.4553757,120.5810624
18.4554784,120.5809963
18.4555851,120.5809328
18.455694,120.5808708
18.4558043,120.5808163
18.4559155,120.580763
18.4560277,120.5807167
18.4561416,120.5806793
18.4562556,120.58065
18.4563716,120.5806237
18.4564895,120.5806031
18.4566064,120.5805921
18.4567214,120.5805909
18.4568344,120.5805939
18.4569516,120.580602
18.457068,120.5806109
18.457187,120.5806191
18.4573096,120.580632
18.4574423,120.5806474
18.4575711,120.5806648
18.4577036,120.5806822
18.4578339,120.5807017
18.4579632,120.5807171
18.45809,120.5807342
18.4582143,120.5807514
18.45834,120.5807696
18.4584604,120.5807865
18.4585849,120.580804
18.4587053,120.5808166
18.4588231,120.5808269
18.4589439,120.5808369
18.4590646,120.5808414
18.4591832,120.5808352
18.4593008,120.5808178
18.459418,120.5807936
18.4595367,120.5807614
18.4596553,120.5807275
18.4597736,120.580692
18.4598936,120.5806555
18.4600121,120.580617
18.4601288,120.5805773
18.4602457,120.5805369
18.4603597,120.5804991
18.4604737,120.5804608
18.4605877,120.5804224
18.4607028,120.5803845
18.4608182,120.5803479
18.4609385,120.5803105
18.461055,120.5802731
18.4611738,120.5802341
18.4612909,120.5801957
18.4614115,120.580158
18.4615323,120.5801208
18.4616537,120.5800813
18.4617753,120.5800409
18.4618965,120.5799997
18.462022,120.579957
18.4621455,120.5799166
18.4622709,120.5798759
18.462397,120.5798359
18.4625241,120.5797967
18.462651,120.5797536
18.4627762,120.5797107
18.4629018,120.5796695
18.4630246,120.5796281
18.4631468,120.5795867
18.463274,120.5795434
18.4633937,120.579503
18.4635148,120.5794623
18.4636345,120.5794226
18.4637584,120.5793829
18.463881,120.5793449
18.4639999,120.5793041
18.4641229,120.5792649
18.4642466,120.5792264
18.4643698,120.5791876
18.4644911,120.5791493
18.4646128,120.5791107
18.4647346,120.5790695
18.4648568,120.5790263
18.4649809,120.5789844
18.4651043,120.5789425
18.4652274,120.5789013
18.4653515,120.5788624
18.4654746,120.5788227
18.4655993,120.5787816
18.4657264,120.5787415
18.4658518,120.5786975
18.4659785,120.578656
18.4661035,120.5786151
18.4662282,120.5785738
18.4663537,120.5785308
18.4664768,120.5784892
18.4665993,120.5784484
18.4667237,120.5784093
18.4668438,120.5783685
18.4669674,120.5783346
18.4670923,120.5783016
18.4672142,120.578268
18.4673329,120.5782326
18.467451,120.5781995
18.4675685,120.5781681
18.4676878,120.5781368
18.4678088,120.5781061
18.4679317,120.5780745
18.4680565,120.5780438
18.4681824,120.5780144
18.468309,120.5779828
18.4684369,120.5779511
18.4685651,120.5779197
18.4686956,120.577886
18.4688271,120.5778549
18.4689614,120.5778225
18.4690923,120.5777918
18.4692233,120.5777603
18.4693551,120.5777289
18.4694841,120.5776997
18.4696123,120.5776668
18.4697411,120.5776349
18.4698691,120.5776011
18.469997,120.5775654
18.4701264,120.5775278
18.470253,120.577489
18.4703794,120.5774488
18.4705054,120.5774089
18.4706336,120.5773704
18.4707613,120.5773295
18.4708886,120.5772875
18.4710158,120.5772449
18.4711412,120.577204
18.4712656,120.577161
18.47139,120.577121
18.4715154,120.5770807
18.4716394,120.5770369
18.4717628,120.5769939
18.4718885,120.5769486
18.472013,120.5769046
18.4721382,120.5768646
18.472264,120.5768251
18.4723927,120.576789
18.4725167,120.5767498
18.4726445,120.5767145
18.4727689,120.5766816
18.4728964,120.5766488
18.473021,120.576616
18.4731481,120.576584
18.4732733,120.5765503
18.4733994,120.5765153
18.4735266,120.576482
18.473654,120.5764495
18.4737827,120.5764189
18.4739127,120.5763889
18.4740406,120.5763588
18.4741675,120.576329
18.4742935,120.5762999
18.4744197,120.5762691
18.4745449,120.5762343
18.4746706,120.5761948
18.474794,120.5761479
18.4749144,120.5760975
18.4750345,120.5760424
18.4751573,120.5759878
18.4752785,120.5759341
18.4754058,120.5758793
18.4755287,120.5758281
18.4756505,120.5757785
18.4757758,120.5757368
18.4759023,120.5756961
18.4760307,120.5756622
18.4761601,120.5756347
18.4762901,120.5756097
18.4764184,120.5755789
18.4765482,120.5755508
18.4766778,120.5755237
18.476812,120.5754965
18.4769461,120.575468
18.4770823,120.5754429
18.4772183,120.5754223
18.4773549,120.5754026
18.4774896,120.5753833
18.4776256,120.5753651
18.4777589,120.5753477
18.4778917,120.5753304
18.4780244,120.5753139
18.4781562,120.575297
18.4782884,120.5752803
18.47842,120.5752646
18.4785481,120.5752512
18.4786751,120.5752377
18.4787989,120.5752256
18.4789183,120.5752114
18.4790366,120.5751958
18.4791514,120.5751741
18.4792614,120.5751456
18.4793676,120.5751043
18.4794713,120.5750414
18.479565,120.5749671
18.4796494,120.5748761
18.479728,120.5747778
18.4798038,120.5746772
18.4798809,120.5745718
18.4799602,120.574469
18.4800419,120.5743644
18.480125,120.574261
18.4802077,120.5741547
18.4802917,120.5740475
18.4803786,120.5739349
18.4804642,120.5738235
18.4805496,120.57371
18.4806295,120.5735945
18.4807066,120.5734815
18.4807911,120.5733658
18.4808774,120.5732525
18.4809606,120.5731402
18.4810458,120.5730287
18.481134,120.5729209
18.4812253,120.5728161
18.4813178,120.5727156
18.4814174,120.5726208
18.4815207,120.5725322
18.481627,120.5724487
18.4817335,120.572366
18.4818398,120.5722868
18.4819462,120.5722098
18.4820521,120.5721337
18.4821591,120.5720598
18.4822635,120.5719832
18.4823656,120.5719096
18.4824685,120.5718329
18.4825719,120.5717567
18.4826744,120.5716802
18.4827787,120.5716055
18.4828781,120.5715354
18.4829856,120.5714622
18.4830949,120.5713958
18.4832043,120.5713364
18.4833175,120.5712878
18.4834351,120.5712474
18.4835527,120.5712121
18.4836762,120.5711815
18.4838036,120.5711502
18.4839296,120.5711212
18.4840556,120.5710924
18.4841806,120.5710648
18.4843025,120.5710341
18.4844249,120.5710049
18.4845447,120.5709748
18.4846659,120.5709459
18.4847887,120.5709175
18.4849117,120.5708871
18.4850338,120.5708602
18.4851546,120.5708313
18.4852765,120.570803
18.4853963,120.5707768
18.4855168,120.570752
18.4856374,120.5707234
18.485756,120.5706946
18.4858764,120.5706676
18.4860017,120.5706381
18.4861213,120.5706121
18.486242,120.5705876
18.4863622,120.5705627
18.4864843,120.5705426
18.4866085,120.5705238
18.4867374,120.5705066
18.4868589,120.5704907
18.486981,120.5704789
18.4871049,120.5704693
18.4872325,120.5704637
18.4873569,120.5704531
18.4874821,120.5704453
18.4876067,120.5704387
18.4877306,120.5704305
18.4878607,120.5704206
18.4879861,120.5704155
18.4881129,120.570409
18.4882387,120.5704056
18.4883662,120.5704017
18.488491,120.5704003
18.4886144,120.5703967
